time,num
2015-06-12 02,7943
2015-06-12 03,5181
2015-06-12 04,4009
2015-06-12 05,4392
2015-06-12 06,10520
2015-06-12 07,18003
2015-06-12 08,21919
2015-06-12 09,20480
2015-06-12 10,18828
2015-06-12 11,18930
2015-06-12 12,19156
2015-06-12 13,18777
2015-06-12 14,19427
2015-06-12 15,17488
2015-06-12 16,14717
2015-06-12 17,19336
2015-06-12 18,25182
2015-06-12 19,26774
2015-06-12 20,24683
2015-06-12 21,24634
2015-06-12 22,25868
2015-06-12 23,24998
2015-06-13 00,24065
2015-06-13 01,20678
2015-06-13 02,17188
2015-06-13 03,12289
2015-06-13 04,7553
2015-06-13 05,3725
2015-06-13 06,4597
2015-06-13 07,7277
2015-06-13 08,10477
2015-06-13 09,14105
2015-06-13 10,17077
2015-06-13 11,18488
2015-06-13 12,19600
2015-06-13 13,20183
2015-06-13 14,19707
2015-06-13 15,19210
2015-06-13 16,17656
2015-06-13 17,20302
2015-06-13 18,22833
2015-06-13 19,23623
2015-06-13 20,20033
2015-06-13 21,21108
2015-06-13 22,23274
2015-06-13 23,24549
2015-06-14 00,23921
2015-06-14 01,21589
2015-06-14 02,18468
2015-06-14 03,13959
2015-06-14 04,8780
2015-06-14 05,3842
2015-06-14 06,3677
2015-06-14 07,4975
2015-06-14 08,7405
2015-06-14 09,10701
2015-06-14 10,14772
2015-06-14 11,16431
2015-06-14 12,17440
2015-06-14 13,17662
2015-06-14 14,17873
2015-06-14 15,16939
2015-06-14 16,16068
2015-06-14 17,17683
2015-06-14 18,18731
2015-06-14 19,18302
2015-06-14 20,17270
2015-06-14 21,19525
2015-06-14 22,19955
2015-06-14 23,15942
2015-06-15 00,8933
2015-06-15 01,5419
2015-06-15 02,3404
2015-06-15 03,2013
2015-06-15 04,2257
2015-06-15 05,3874
2015-06-15 06,10224
2015-06-15 07,16746
2015-06-15 08,20027
2015-06-15 09,18997
2015-06-15 10,17201
2015-06-15 11,16880
2015-06-15 12,17640
2015-06-15 13,17934
2015-06-15 14,20878
2015-06-15 15,17534
2015-06-15 16,15517
2015-06-15 17,18582
2015-06-15 18,22583
2015-06-15 19,23015
2015-06-15 20,21677
2015-06-15 21,21469
2015-06-15 22,18486
2015-06-15 23,13845
2015-06-16 00,9343
2015-06-16 01,5907
2015-06-16 02,3619
2015-06-16 03,2157
2015-06-16 04,2093
2015-06-16 05,3736
